FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,TRACT,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,H0010001,H0010002,H0010003
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Census Tract,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,Institutionalized population:,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population:,College/University student housing,Military quarters,Other noninstitutional facilities,Total:,Occupied,Vacant
PLST,MA,140,1400000US25025020101,25025020101,1,1,25,25,,20101,4235,3643,44,167,210,0,0,25,146,3812,3302,44,147,199,0,0,23,97,32,0,0,0,0,0,32,0,0,32,2745,2400,345
PLST,MA,140,1400000US25025020200,25025020200,1,1,25,25,,20200,3804,2870,166,269,329,1,1,13,155,3608,2757,145,246,325,1,1,12,121,0,0,0,0,0,0,0,0,0,0,2487,2339,148
PLST,MA,140,1400000US25025020301,25025020301,1,1,25,25,,20301,2166,1288,60,143,581,0,0,11,83,2023,1207,57,131,547,0,0,11,70,16,0,0,0,0,0,16,0,0,16,1457,1335,122
PLST,MA,140,1400000US25025020302,25025020302,1,1,25,25,,20302,1293,1007,42,100,90,0,0,8,46,1179,920,42,81,90,0,0,8,38,1,0,0,0,0,0,1,0,0,1,803,744,59
PLST,MA,140,1400000US25025020304,25025020304,1,1,25,25,,20304,1906,1269,111,193,233,2,1,20,77,1740,1187,103,152,225,2,1,19,51,91,57,0,0,0,57,34,0,0,34,1156,1049,107
PLST,MA,140,1400000US25025020305,25025020305,1,1,25,25,,20305,3633,2376,167,277,625,7,0,54,127,3335,2226,143,248,574,7,0,47,90,37,34,34,0,0,0,3,0,0,3,2630,2188,442
PLST,MA,140,1400000US25025030100,25025030100,1,1,25,25,,30100,2115,1842,26,101,85,0,2,5,54,2023,1782,18,82,82,0,2,5,52,3,0,0,0,0,0,3,0,0,3,1381,1291,90
PLST,MA,140,1400000US25025030200,25025030200,1,1,25,25,,30200,1815,1558,13,105,76,0,1,3,59,1742,1512,13,93,75,0,1,0,48,0,0,0,0,0,0,0,0,0,0,1143,1088,55
PLST,MA,140,1400000US25025030301,25025030301,1,1,25,25,,30301,1385,1154,4,52,140,0,3,10,22,1258,1072,4,43,114,0,3,10,12,3,0,0,0,0,0,3,0,0,3,901,783,118
PLST,MA,140,1400000US25025030302,25025030302,1,1,25,25,,30302,1844,1300,103,157,195,2,0,13,74,1745,1238,103,132,189,2,0,12,69,523,0,0,0,0,0,523,334,0,189,1249,868,381
PLST,MA,140,1400000US25025030400,25025030400,1,1,25,25,,30400,4160,3511,69,233,171,6,0,26,144,3912,3329,69,187,168,6,0,23,130,62,41,0,0,41,0,21,0,0,21,2636,2421,215
PLST,MA,140,1400000US25025030500,25025030500,1,1,25,25,,30500,2715,2395,33,89,108,1,2,11,76,2559,2265,32,83,105,0,2,9,63,124,0,0,0,0,0,124,0,116,8,1672,1514,158
PLST,MA,140,1400000US25025040100,25025040100,1,1,25,25,,40100,2360,2051,17,99,94,3,0,16,80,2023,1784,17,79,82,3,0,14,44,30,0,0,0,0,0,30,0,30,0,1255,1201,54
PLST,MA,140,1400000US25025040200,25025040200,1,1,25,25,,40200,1594,837,197,380,91,4,1,12,72,1156,663,119,234,83,0,1,10,46,0,0,0,0,0,0,0,0,0,0,704,639,65
PLST,MA,140,1400000US25025040300,25025040300,1,1,25,25,,40300,4525,3506,226,465,138,0,0,21,169,3574,2906,121,281,128,0,0,16,122,7,0,0,0,0,0,7,0,0,7,2115,2021,94
PLST,MA,140,1400000US25025040401,25025040401,1,1,25,25,,40401,2922,2206,68,204,354,0,0,24,66,2384,1845,56,151,271,0,0,16,45,55,55,0,0,55,0,0,0,0,0,1310,1256,54
PLST,MA,140,1400000US25025040600,25025040600,1,1,25,25,,40600,3683,2981,89,202,266,2,1,6,136,3175,2603,77,157,234,2,1,6,95,18,0,0,0,0,0,18,0,0,18,2019,1805,214
PLST,MA,140,1400000US25025040801,25025040801,1,1,25,25,,40801,4036,2045,393,725,703,7,2,19,142,3349,1888,272,485,602,7,2,13,80,0,0,0,0,0,0,0,0,0,0,2122,2010,112
PLST,MA,140,1400000US25025050101,25025050101,1,1,25,25,,50101,4917,1242,176,3058,253,2,7,43,136,3808,1111,137,2204,218,2,4,30,102,39,0,0,0,0,0,39,0,0,39,1878,1759,119
PLST,MA,140,1400000US25025050200,25025050200,1,1,25,25,,50200,5197,1467,121,3168,174,15,3,78,171,4077,1278,114,2341,144,9,3,55,133,9,0,0,0,0,0,9,0,0,9,1994,1850,144
PLST,MA,140,1400000US25025050300,25025050300,1,1,25,25,,50300,3258,1251,283,1207,354,5,0,32,126,2777,1142,237,936,327,5,0,30,100,36,12,0,12,0,0,24,0,0,24,1929,1700,229
PLST,MA,140,1400000US25025050400,25025050400,1,1,25,25,,50400,2372,1090,41,969,119,2,1,60,90,2021,1000,36,747,107,2,0,55,74,0,0,0,0,0,0,0,0,0,0,1111,1033,78
PLST,MA,140,1400000US25025050500,25025050500,1,1,25,25,,50500,2174,932,45,944,103,0,0,25,125,1820,858,44,707,97,0,0,20,94,0,0,0,0,0,0,0,0,0,0,972,921,51
PLST,MA,140,1400000US25025050600,25025050600,1,1,25,25,,50600,2074,701,46,1168,82,3,1,25,48,1712,628,40,914,75,0,0,16,39,0,0,0,0,0,0,0,0,0,0,879,833,46
PLST,MA,140,1400000US25025050700,25025050700,1,1,25,25,,50700,4520,1268,122,2699,122,10,1,140,158,3529,1083,95,2026,101,5,1,89,129,15,0,0,0,0,0,15,0,0,15,1680,1536,144
PLST,MA,140,1400000US25025050901,25025050901,1,1,25,25,,50901,4242,1091,77,2749,92,2,0,90,141,3268,949,66,1999,84,2,0,58,110,0,0,0,0,0,0,0,0,0,0,1504,1412,92
PLST,MA,140,1400000US25025051000,25025051000,1,1,25,25,,51000,4317,1906,128,1907,154,2,0,71,149,3508,1679,86,1449,138,1,0,49,106,3,0,0,0,0,0,3,0,0,3,1844,1749,95
PLST,MA,140,1400000US25025051101,25025051101,1,1,25,25,,51101,6460,2741,275,2821,313,3,0,66,241,5274,2422,214,2164,264,1,0,54,155,141,132,0,0,132,0,9,0,0,9,2444,2264,180
PLST,MA,140,1400000US25025051200,25025051200,1,1,25,25,,51200,3454,2017,85,1000,149,1,0,48,154,2965,1836,66,767,147,1,0,35,113,5,0,0,0,0,0,5,0,0,5,1745,1607,138
