,area,city code,use internet at home,household id,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
61,0,0,1,271393150407304,3,1,41,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,1,17,0
62,0,0,1,271393150407304,3,1,44,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,-1,17,0
63,16980,0,2,971235180103802,1,5,39,2,1,-1,-1,-1,-1,-1,-1,2,1,2,2,1,-1,-1,-1,-1,2,-1,17,0
64,16980,0,1,010710953534069,1,5,41,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,2,17,0
65,16980,0,1,471350150906903,2,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,17,0
66,16980,0,1,471350150906903,2,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
67,16980,0,1,757418301200101,5,1,44,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,1,17,0
68,16980,0,1,757418301200101,5,7,43,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
69,16980,0,1,757418301200101,5,-1,-1,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
70,16980,0,1,757418301200101,5,-1,-1,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
71,16980,0,1,757418301200101,5,-1,-1,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
72,16060,0,1,105140815003725,3,4,46,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
73,16060,0,1,105140815003725,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
74,16060,0,1,105140815003725,3,7,36,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
75,0,0,1,310008051832797,2,6,40,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
