,DP02_0001E,DP02_0152E,DP02_0152PE,DP02_0153E,DP02_0153PE,DP03_0062E,DP03_0062PE,DP03_0119E,DP03_0119PE,DP05_0001E,DP05_0071E,DP05_0071PE,DP05_0078E,DP05_0078PE,state,county,tract
850,613,496,80.9,425,69.3,29495,-888888888,-888888888,25.6,1329,115,8.7,1209,91.0,17,031,400300
851,831,714,85.9,613,73.8,22355,-888888888,-888888888,35.1,2102,8,0.4,2044,97.2,17,031,400500
852,1251,1209,96.6,1044,83.5,48194,-888888888,-888888888,8.1,2007,280,14.0,782,39.0,17,031,410100
853,680,636,93.5,613,90.1,41692,-888888888,-888888888,13.9,1475,195,13.2,358,24.3,17,031,410200
854,1035,995,96.1,906,87.5,41016,-888888888,-888888888,2.7,2516,313,12.4,628,25.0,17,031,410600
855,1962,1768,90.1,1640,83.6,67346,-888888888,-888888888,5.2,3509,219,6.2,1369,39.0,17,031,411000
856,727,692,95.2,675,92.8,48015,-888888888,-888888888,14.5,1957,60,3.1,1865,95.3,17,031,430800
857,709,615,86.7,495,69.8,40417,-888888888,-888888888,26.0,1481,0,0.0,1468,99.1,17,031,430900
858,2062,1731,83.9,1415,68.6,54167,-888888888,-888888888,10.3,4706,0,0.0,4514,95.9,17,031,440300
859,737,606,82.2,559,75.8,68317,-888888888,-888888888,18.0,1786,26,1.5,1751,98.0,17,031,440600
860,389,316,81.2,297,76.3,40110,-888888888,-888888888,17.1,1200,313,26.1,876,73.0,17,031,460600
861,1566,1513,96.6,1395,89.1,86125,-888888888,-888888888,2.9,3435,277,8.1,70,2.0,17,031,040700
862,993,953,96.0,912,91.8,77250,-888888888,-888888888,2.9,1904,115,6.0,35,1.8,17,031,040900
863,1304,1277,97.9,1188,91.1,94800,-888888888,-888888888,1.4,2939,252,8.6,152,5.2,17,031,060100
864,1307,1273,97.4,1215,93.0,112574,-888888888,-888888888,0.0,2936,332,11.3,49,1.7,17,031,060300
865,1626,1585,97.5,1466,90.2,132143,-888888888,-888888888,0.9,3877,446,11.5,25,0.6,17,031,060400
866,1594,1594,100.0,1509,94.7,77222,-888888888,-888888888,0.0,3027,132,4.4,117,3.9,17,031,062000
867,1293,1268,98.1,1214,93.9,128102,-888888888,-888888888,7.8,2988,416,13.9,33,1.1,17,031,062200
868,713,699,98.0,675,94.7,150240,-888888888,-888888888,7.7,1556,187,12.0,49,3.1,17,031,062500
869,1296,1242,95.8,1159,89.4,90978,-888888888,-888888888,0.0,2238,128,5.7,24,1.1,17,031,063100
870,2745,2548,92.8,2427,88.4,108583,-888888888,-888888888,2.9,6416,686,10.7,16,0.2,17,031,090200
871,1242,1102,88.7,1060,85.3,99710,-888888888,-888888888,0.8,3404,548,16.1,2,0.1,17,031,100400
872,1871,1648,88.1,1562,83.5,85953,-888888888,-888888888,2.2,5180,877,16.9,10,0.2,17,031,100700
873,2491,2302,92.4,2075,83.3,127473,-888888888,-888888888,2.5,6892,775,11.2,59,0.9,17,031,120300
874,1348,1165,86.4,901,66.8,40938,-888888888,-888888888,23.2,3595,260,7.2,2969,82.6,17,031,292500
875,3839,3824,99.6,3639,94.8,99510,-888888888,-888888888,0.0,6187,245,4.0,131,2.1,17,031,071500
876,799,782,97.9,708,88.6,51849,-888888888,-888888888,3.9,1686,34,2.0,664,39.4,17,031,390600
877,1947,1788,91.8,1762,90.5,64604,-888888888,-888888888,7.0,5851,844,14.4,523,8.9,17,031,807000
878,226,205,90.7,182,80.5,18906,-888888888,-888888888,65.9,347,0,0.0,321,92.5,17,031,381500
879,1092,1092,100.0,946,86.6,39514,-888888888,-888888888,3.9,2186,113,5.2,459,21.0,17,031,410700
880,2342,1995,85.2,1828,78.1,71500,-888888888,-888888888,6.5,5805,395,6.8,248,4.3,17,031,808301
881,2020,1738,86.0,1390,68.8,40675,-888888888,-888888888,19.8,6988,5611,80.3,1104,15.8,17,031,230600
882,1321,926,70.1,924,69.9,61635,-888888888,-888888888,17.1,2726,900,33.0,185,6.8,17,031,221500
883,645,562,87.1,540,83.7,56563,-888888888,-888888888,16.6,1620,877,54.1,104,6.4,17,031,230100
884,586,574,98.0,564,96.2,125882,-888888888,-888888888,3.2,1215,60,4.9,62,5.1,17,031,240300
885,763,756,99.1,744,97.5,154792,-888888888,-888888888,4.1,1995,209,10.5,238,11.9,17,031,241300
886,1115,1085,97.3,1075,96.4,188697,-888888888,-888888888,1.2,2893,226,7.8,72,2.5,17,031,051300
887,4208,4132,98.2,4011,95.3,72457,-888888888,-888888888,3.4,6745,456,6.8,193,2.9,17,031,063200
888,1642,1409,85.8,1309,79.7,121298,-888888888,-888888888,4.7,4191,420,10.0,665,15.9,17,031,070700
889,1118,1118,100.0,1051,94.0,160662,-888888888,-888888888,0.0,3394,314,9.3,56,1.6,17,031,071100
890,2851,2665,93.5,2631,92.3,117150,-888888888,-888888888,2.4,5096,326,6.4,282,5.5,17,031,071400
891,328,277,84.5,206,62.8,20541,-888888888,-888888888,52.4,856,0,0.0,856,100.0,17,031,380500
892,689,579,84.0,517,75.0,42960,-888888888,-888888888,11.5,1415,0,0.0,1345,95.1,17,031,381400
893,648,592,91.4,510,78.7,40833,-888888888,-888888888,23.3,1252,0,0.0,1094,87.4,17,031,381800
894,807,719,89.1,665,82.4,46442,-888888888,-888888888,8.3,1565,147,9.4,889,56.8,17,031,390500
895,3345,3081,92.1,2584,77.2,61193,-888888888,-888888888,2.8,5372,58,1.1,3304,61.5,17,031,390700
896,1330,1285,96.6,1185,89.1,54079,-888888888,-888888888,15.6,2525,63,2.5,1053,41.7,17,031,410500
897,738,731,99.1,639,86.6,88571,-888888888,-888888888,8.3,1689,109,6.5,102,6.0,17,031,411200
898,1167,854,73.2,766,65.6,19498,-888888888,-888888888,52.2,2674,52,1.9,2529,94.6,17,031,420700
899,1400,1103,78.8,1047,74.8,49896,-888888888,-888888888,10.1,3733,0,0.0,3586,96.1,17,031,450300
900,798,655,82.1,574,71.9,42543,-888888888,-888888888,23.4,1598,342,21.4,536,33.5,17,031,500300
901,1578,1445,91.6,1361,86.2,63819,-888888888,-888888888,5.8,5275,3879,73.5,105,2.0,17,031,520500
902,741,662,89.3,626,84.5,61903,-888888888,-888888888,14.9,2183,79,3.6,2052,94.0,17,031,530400
903,1827,1498,82.0,1353,74.1,46261,-888888888,-888888888,22.0,4769,1057,22.2,3498,73.3,17,031,250400
904,1138,1023,89.9,855,75.1,30000,-888888888,-888888888,34.6,4261,484,11.4,3754,88.1,17,031,251600
905,1699,1391,81.9,1108,65.2,24632,-888888888,-888888888,35.7,5300,179,3.4,4810,90.8,17,031,251800
906,378,325,86.0,265,70.1,24714,-888888888,-888888888,13.1,1461,75,5.1,1242,85.0,17,031,260900
907,1845,1728,93.7,1498,81.2,60353,-888888888,-888888888,4.7,3342,284,8.5,852,25.5,17,031,410900
908,1604,1604,100.0,1566,97.6,101615,-888888888,-888888888,5.7,3480,739,21.2,80,2.3,17,031,241600
909,1513,1371,90.6,1215,80.3,41109,-888888888,-888888888,12.9,3676,1158,31.5,560,15.2,17,031,030300
910,2846,2531,88.9,1910,67.1,41389,-888888888,-888888888,19.1,6359,1622,25.5,1403,22.1,17,031,031200
911,962,725,75.4,611,63.5,18133,-888888888,-888888888,59.8,2450,38,1.6,2380,97.1,17,031,430300
912,967,835,86.3,727,75.2,69271,-888888888,-888888888,5.9,2487,418,16.8,39,1.6,17,031,170600
913,1436,1339,93.2,1224,85.2,57788,-888888888,-888888888,10.4,3549,462,13.0,353,9.9,17,031,600900
914,1316,1095,83.2,954,72.5,51184,-888888888,-888888888,11.4,5483,5190,94.7,23,0.4,17,031,630300
915,1642,1496,91.1,1435,87.4,52600,-888888888,-888888888,18.6,4874,425,8.7,3169,65.0,17,031,828702
916,1082,928,85.8,847,78.3,47250,-888888888,-888888888,10.1,2300,610,26.5,125,5.4,17,031,830001
917,1374,1254,91.3,1189,86.5,86898,-888888888,-888888888,0.9,3365,400,11.9,689,20.5,17,031,819500
918,925,756,81.7,711,76.9,24517,-888888888,-888888888,36.3,2651,1017,38.4,1481,55.9,17,031,460700
919,1009,690,68.4,494,49.0,24481,-888888888,-888888888,33.2,3408,75,2.2,3238,95.0,17,031,491000
920,1729,1614,93.3,1408,81.4,82450,-888888888,-888888888,3.6,5043,557,11.0,835,16.6,17,031,821900
921,2812,2433,86.5,2383,84.7,67143,-888888888,-888888888,2.4,6280,558,8.9,196,3.1,17,031,823602
922,2689,2515,93.5,2451,91.1,94020,-888888888,-888888888,9.3,8101,932,11.5,826,10.2,17,031,824108
923,2029,1828,90.1,1767,87.1,92719,-888888888,-888888888,0.0,5240,823,15.7,88,1.7,17,031,818800
924,2016,1827,90.6,1503,74.6,51421,-888888888,-888888888,14.3,6927,5975,86.3,303,4.4,17,031,191100
925,661,573,86.7,439,66.4,57656,-888888888,-888888888,20.1,2090,1728,82.7,12,0.6,17,031,230400
926,814,790,97.1,728,89.4,101216,-888888888,-888888888,0.0,1803,313,17.4,91,5.0,17,031,242900
927,521,404,77.5,361,69.3,42332,-888888888,-888888888,8.4,1640,1380,84.1,1,0.1,17,031,570400
928,1518,1257,82.8,1158,76.3,54904,-888888888,-888888888,10.8,4123,795,19.3,235,5.7,17,031,822302
929,1658,1409,85.0,1353,81.6,88819,-888888888,-888888888,5.4,4569,289,6.3,138,3.0,17,031,823903
930,1658,1515,91.4,1448,87.3,48967,-888888888,-888888888,9.6,5245,469,8.9,3970,75.7,17,031,825600
931,1500,1353,90.2,1255,83.7,71336,-888888888,-888888888,5.8,3645,394,10.8,1109,30.4,17,031,828401
932,844,791,93.7,752,89.1,83125,-888888888,-888888888,7.7,2357,0,0.0,2020,85.7,17,031,827901
933,2782,2460,88.4,2322,83.5,77605,-888888888,-888888888,2.5,4200,400,9.5,399,9.5,17,031,081100
934,1936,1773,91.6,1661,85.8,82634,-888888888,-888888888,10.2,5331,1238,23.2,11,0.2,17,031,110300
935,1614,1434,88.8,1231,76.3,58851,-888888888,-888888888,16.6,5838,4716,80.8,158,2.7,17,031,190200
936,1270,1067,84.0,969,76.3,71402,-888888888,-888888888,15.1,2879,1139,39.6,66,2.3,17,031,221300
937,1086,929,85.5,773,71.2,45610,-888888888,-888888888,13.4,3807,781,20.5,2935,77.1,17,031,251200
938,655,595,90.8,543,82.9,58203,-888888888,-888888888,11.6,1607,425,26.4,379,23.6,17,031,282800
939,536,368,68.7,328,61.2,27273,-888888888,-888888888,41.7,2018,44,2.2,1964,97.3,17,031,260600
